feature,importance
MedInc,0.5638984881145334
AveOccup,0.13833292699350896
Latitude,0.08629387782531865
Longitude,0.0858363150794566
HouseAge,0.050627422603708366
AveRooms,0.03594880766015977
Population,0.01961370462303908
AveBedrms,0.01944845710027532
